날짜,요일,노출수,클릭수,CTR,평균 CPC,비용,구독 신청,전환율,전환당비용,예산 소진,학습 기간
2026-07-06,월,173,24,13.87%,1051,25236,0.00,0.00%,,,Y
2026-07-07,화,211,28,13.27%,780,21832,0.00,0.00%,,,Y
2026-07-08,수,228,28,12.28%,845,23654,4.00,14.29%,5913,,Y
2026-07-09,목,301,39,12.96%,840,32751,2.00,5.13%,16375,,
2026-07-10,금,326,45,13.80%,765,34425,2.00,4.44%,17212,,
2026-07-11,토,320,53,16.56%,946,50151,5.00,9.43%,10030,,
2026-07-12,일,363,47,12.95%,1045,49115,1.00,2.13%,49115,,
2026-07-13,월,353,53,15.01%,1006,53338,4.00,7.55%,13335,,
2026-07-14,화,332,51,15.36%,810,41326,3.00,5.88%,13775,,
2026-07-15,수,352,42,11.93%,699,29370,2.00,4.76%,14685,,
2026-07-16,목,297,39,13.13%,1227,47843,2.00,5.13%,23922,,
2026-07-17,금,332,44,13.25%,1178,51823,2.00,4.55%,25912,,
2026-07-18,토,314,28,8.92%,902,25253,4.00,14.29%,6313,,
2026-07-19,일,346,40,11.56%,834,33347,3.00,7.50%,11116,,
2026-07-20,월,286,26,9.09%,708,18403,1.00,3.85%,18403,,
2026-07-21,화,301,37,12.29%,894,33063,2.00,5.41%,16531,,
2026-07-22,수,281,52,18.51%,1066,55455,2.00,3.85%,27728,,
2026-07-23,목,313,34,10.86%,838,28480,0.00,0.00%,,,
2026-07-24,금,308,34,11.04%,726,24688,4.00,11.76%,6172,,
2026-07-25,토,279,36,12.90%,1375,49495,1.00,2.78%,49495,,
2026-07-26,일,347,37,10.66%,883,32678,1.00,2.70%,32678,,
2026-07-27,월,351,42,11.97%,885,37159,4.00,9.52%,9290,,
2026-07-28,화,326,50,15.34%,795,39725,5.00,10.00%,7945,,
2026-07-29,수,339,33,9.73%,797,26311,2.00,6.06%,13155,,
2026-07-30,목,294,40,13.61%,855,34198,2.00,5.00%,17099,,
2026-07-31,금,312,42,13.46%,925,38851,0.00,0.00%,,,
2026-08-01,토,319,38,11.91%,833,31642,0.00,0.00%,,,
2026-08-02,일,272,38,13.97%,1093,41520,2.00,5.26%,20760,,
2026-08-03,월,328,45,13.72%,923,41522,4.00,8.89%,10381,,
2026-08-04,화,283,41,14.49%,1050,43062,2.00,4.88%,21531,,
합계,,9187,1186,12.91%,924,1095718,66.00,5.56%,16602,,
