구분,값,노출수,클릭수,CTR,비용,구독 신청
기기,휴대전화,6845,898,13.12%,882723,44.00
기기,컴퓨터,1958,248,12.67%,188266,22.00
기기,태블릿,384,40,10.42%,24728,0.00
시간대,00:00,148,14,9.54%,7564,0.38
시간대,01:00,83,8,9.54%,4255,0.21
시간대,02:00,46,4,9.54%,2364,0.12
시간대,03:00,28,3,9.54%,1418,0.07
시간대,04:00,28,3,9.54%,1418,0.07
시간대,05:00,55,5,9.54%,2837,0.14
시간대,06:00,124,17,13.52%,13241,0.85
시간대,07:00,231,31,13.52%,24591,1.58
시간대,08:00,338,46,13.52%,35940,2.31
시간대,09:00,391,53,13.52%,41615,2.67
시간대,10:00,409,55,13.52%,43506,2.79
시간대,11:00,409,55,13.52%,43506,2.79
시간대,12:00,419,54,12.92%,54481,3.21
시간대,13:00,419,54,12.92%,54481,3.21
시간대,14:00,438,57,12.92%,56957,3.35
시간대,15:00,457,59,12.92%,59434,3.50
시간대,16:00,476,61,12.92%,61910,3.65
시간대,17:00,533,69,12.92%,69339,4.08
시간대,18:00,730,94,12.94%,90766,5.44
시간대,19:00,872,113,12.94%,108415,6.50
시간대,20:00,933,121,12.94%,115978,6.96
시간대,21:00,811,105,12.94%,100851,6.05
시간대,22:00,527,68,12.94%,65553,3.93
시간대,23:00,284,37,12.94%,35298,2.12
