검색어,관련도,일치 키워드,광고그룹,검색유형,노출수,클릭수,CTR,비용,구독 신청,전환당비용
홈트레이닝 클래스,정확 일치,홈트레이닝 클래스,홈트 클래스,구문검색,1874,177,9.44%,308114,7.00,44016
홈트 온라인 강의,정확 일치,홈트 온라인 강의,홈트 클래스,구문검색,1462,163,11.15%,172263,12.00,14355
홈트 온라인 강의 가격,관련,홈트 온라인 강의,홈트 클래스,구문검색,1316,147,11.15%,155040,6.00,25840
직접 홈트레이닝 클래스,관련,홈트레이닝 클래스,홈트 클래스,구문검색,938,89,9.44%,154252,3.00,51417
홈트레이닝 클래스 신청,관련,홈트레이닝 클래스,홈트 클래스,구문검색,863,82,9.44%,141991,2.00,70995
홈트 온라인 강의 할인,관련,홈트 온라인 강의,홈트 클래스,구문검색,924,103,11.15%,108864,2.00,54432
홈핏 루틴,정확 일치,홈핏 루틴,홈핏 브랜드,일치검색,359,85,23.68%,13501,10.00,1350
홈핏 다이어트,정확 일치,홈핏 다이어트,홈핏 브랜드,일치검색,371,103,27.76%,12169,4.00,3042
홈핏 홈트,정확 일치,홈핏 홈트,홈핏 브랜드,일치검색,313,87,27.80%,10716,10.00,1072
홈핏 트레이닝,정확 일치,홈핏 트레이닝,홈핏 브랜드,일치검색,285,67,23.51%,8157,6.00,1360
홈핏 운동,정확 일치,홈핏 운동,홈핏 브랜드,일치검색,355,53,14.93%,7030,2.00,3515
홈핏 프로그램,정확 일치,홈핏 프로그램,홈핏 브랜드,일치검색,126,31,24.60%,3621,2.00,1810
